CustomerID,Country,FirstPurchaseDate,TotalSpent
12346,United Kingdom,2011-01-18 10:01:00,77183.6
12347,Iceland,2010-12-07 14:57:00,4310.0
12348,Finland,2010-12-16 19:09:00,1797.24
12349,Italy,2011-11-21 09:51:00,1757.55
12350,Norway,2011-02-02 16:01:00,334.4
12352,Norway,2011-02-16 12:33:00,2506.04
12353,Bahrain,2011-05-19 17:47:00,89.0
12354,Spain,2011-04-21 13:11:00,1079.4
12355,Bahrain,2011-05-09 13:49:00,459.4
12356,Portugal,2011-01-18 09:50:00,2811.43
12357,Switzerland,2011-11-06 16:07:00,6207.67
12358,Austria,2011-07-12 10:04:00,1168.06
12359,Cyprus,2011-01-12 12:43:00,6310.03
12360,Austria,2011-05-23 09:43:00,2662.06
12361,Belgium,2011-02-25 13:51:00,189.9
12362,Belgium,2011-02-17 10:30:00,5226.23
12363,Unspecified,2011-04-11 13:29:00,552.0
12364,Belgium,2011-08-19 15:24:00,1313.1
12365,Cyprus,2011-02-21 13:51:00,641.38
12367,Denmark,2011-12-05 16:48:00,168.9
12370,Cyprus,2010-12-14 12:58:00,3541.94
12371,Switzerland,2011-10-11 10:43:00,1887.96
12372,Denmark,2011-02-16 12:46:00,1298.04
12373,Austria,2011-02-01 13:10:00,364.6
12374,Austria,2011-11-14 15:37:00,742.9300000000001
12375,Finland,2011-09-02 14:23:00,457.5
12377,Switzerland,2010-12-20 09:37:00,1628.12
12378,Switzerland,2011-08-02 10:34:00,4008.62
12379,Belgium,2011-06-22 16:32:00,852.24
12380,Belgium,2011-06-07 09:49:00,2724.81
12381,Norway,2011-08-12 09:57:00,1845.31
12383,Belgium,2010-12-22 14:28:00,1850.56
12384,Switzerland,2011-08-10 11:23:00,585.27
12386,Australia,2010-12-08 09:53:00,401.9
12388,Australia,2011-01-17 11:12:00,2780.66
12390,Belgium,2011-09-21 09:33:00,549.84
12391,Cyprus,2011-11-18 12:07:00,439.66
12393,Australia,2011-01-11 09:47:00,1582.6000000000001
12394,Belgium,2011-05-06 14:01:00,1272.48
12395,Belgium,2010-12-03 16:35:00,3018.63
12397,Belgium,2011-07-27 14:21:00,2409.9
12398,Switzerland,2011-10-25 10:27:00,1635.6599999999999
12399,Belgium,2011-03-23 09:42:00,1108.65
12401,Belgium,2011-02-09 13:50:00,84.3
12402,Belgium,2011-01-20 13:49:00,225.6
12403,Denmark,2011-10-21 10:51:00,427.7
12405,Finland,2011-07-14 08:52:00,1710.39
12406,Denmark,2011-06-09 10:23:00,3415.3
12407,Belgium,2011-03-20 13:21:00,1708.1200000000001
12408,Belgium,2011-03-24 14:46:00,2888.55
12409,Switzerland,2011-06-10 12:19:00,11072.67
12410,Switzerland,2011-02-04 10:38:00,693.3299999999999
12412,Denmark,2011-06-23 13:51:00,1226.88
12413,France,2011-01-06 16:12:00,758.1
12414,Austria,2011-02-02 14:51:00,562.41
12415,Australia,2011-01-06 11:12:00,124914.53
12417,Belgium,2010-12-17 11:51:00,3649.1
12418,Switzerland,2011-08-19 11:08:00,668.58
12420,Cyprus,2011-10-07 08:55:00,600.39
12421,Spain,2011-01-24 15:09:00,807.04
12422,Australia,2011-01-19 09:13:00,803.5600000000001
12423,Belgium,2010-12-21 10:54:00,1859.31
12424,Australia,2011-06-30 12:06:00,1760.96
12425,Portugal,2011-09-22 17:31:00,777.2
12426,Germany,2011-05-29 12:26:00,582.73
12427,Germany,2010-12-03 10:44:00,825.8
12428,Finland,2011-03-01 09:33:00,7956.46
12429,Denmark,2010-12-09 12:05:00,3750.4
12430,Norway,2011-10-27 15:09:00,256.4
12431,Australia,2010-12-01 10:03:00,6419.95
12432,Norway,2011-06-20 13:27:00,5059.32
12433,Norway,2010-12-01 13:24:00,13375.87
12434,Australia,2011-03-24 13:05:00,806.14
12435,Denmark,2011-03-17 07:40:00,7829.89
12436,Norway,2011-09-01 12:09:00,509.01
12437,France,2011-01-12 14:13:00,4951.41
12438,Norway,2011-07-22 13:29:00,2906.85
12441,France,2010-12-08 10:45:00,173.55
12442,Spain,2011-12-06 14:22:00,172.06
12444,Norway,2011-06-21 14:00:00,5005.46
12445,Spain,2011-11-17 18:43:00,133.4
12446,RSA,2011-10-13 12:50:00,1002.3100000000001
12447,Belgium,2011-04-10 13:25:00,476.49
12448,Spain,2011-10-26 13:46:00,449.45
12449,Belgium,2011-06-05 15:37:00,4067.29
12450,Spain,2011-06-19 14:36:00,197.88
12451,Switzerland,2011-01-19 09:05:00,9035.52
12452,Switzerland,2011-11-23 08:05:00,430.57
12453,Austria,2011-07-28 14:08:00,707.09
12454,Spain,2011-10-14 17:13:00,3528.34
12455,Cyprus,2011-02-16 09:56:00,2466.86
12456,Switzerland,2011-03-30 09:12:00,3181.04
12457,Switzerland,2011-04-14 18:57:00,2363.23
12458,Switzerland,2011-02-28 10:55:00,947.4
12461,Switzerland,2011-07-08 10:23:00,826.88
12462,Spain,2011-02-09 14:44:00,1189.59
12463,Belgium,2011-04-12 12:47:00,1344.78
12464,Belgium,2011-02-03 13:30:00,1212.05
12465,Belgium,2011-06-23 13:37:00,742.1899999999999
12468,Germany,2011-01-27 13:29:00,729.5400000000001
12471,Germany,2010-12-10 09:35:00,19788.65
12472,Germany,2010-12-05 14:19:00,6572.11
12473,Germany,2011-06-01 10:15:00,3928.0499999999997
12474,Germany,2011-01-14 10:06:00,7324.09
12475,Germany,2011-10-17 10:10:00,723.38
12476,Germany,2010-12-13 14:39:00,6816.42
12477,Germany,2011-02-11 12:45:00,13219.74
12478,Greece,2011-12-06 09:56:00,680.99
12479,Germany,2011-11-28 13:26:00,527.2
12480,Germany,2011-01-07 15:27:00,3281.63
12481,Germany,2010-12-09 10:13:00,5579.82
12483,Sweden,2011-01-04 14:20:00,2484.98
12484,Spain,2011-01-07 14:04:00,4527.32
12488,France,2011-09-25 10:34:00,1298.66
12489,France,2011-01-07 13:13:00,334.93
12490,France,2011-01-14 09:13:00,5417.93
12491,France,2011-11-01 12:18:00,460.40000000000003
12492,Germany,2011-08-26 14:51:00,263.21000000000004
12493,France,2011-05-26 14:53:00,433.74
12494,France,2010-12-09 11:31:00,1246.1000000000001
12497,Germany,2011-09-19 12:29:00,1043.1
12498,Germany,2011-10-13 09:30:00,403.70000000000005
12500,Germany,2011-01-10 09:48:00,4257.82
12501,Germany,2011-01-07 12:28:00,2169.39
12502,Spain,2011-02-03 10:41:00,3723.87
12504,Germany,2011-11-09 14:56:00,482.04999999999995
12506,France,2011-04-21 08:54:00,73.5
12507,Spain,2011-02-14 09:24:00,1304.81
12508,France,2011-11-10 16:27:00,397.88
12509,France,2011-02-28 14:45:00,176.5
12510,Spain,2011-01-18 14:04:00,982.5699999999999
12512,Israel,2011-10-04 14:53:00,132.18
12513,France,2011-08-19 10:51:00,612.29
12514,Italy,2011-03-17 16:38:00,1017.68
12515,Italy,2010-12-21 15:43:00,383.7
12516,Germany,2011-06-12 11:37:00,1312.06
12517,Germany,2011-06-02 15:13:00,2481.6
12518,Germany,2011-08-21 13:18:00,2056.89
12519,Germany,2011-10-07 09:26:00,330.84
12520,Germany,2011-03-11 11:35:00,2634.26
12521,Germany,2011-07-20 10:51:00,599.68
12522,Germany,2011-10-19 14:41:00,192.72
12523,France,2011-01-12 09:43:00,1789.77
12524,Germany,2011-01-10 10:35:00,4485.72
12526,Germany,2011-09-06 14:19:00,1316.66
12527,Germany,2011-01-18 12:05:00,348.71000000000004
12528,Germany,2011-01-31 09:05:00,1933.48
12530,Germany,2011-01-07 10:04:00,1662.28
12531,Germany,2011-11-25 11:12:00,125.22
12532,France,2011-11-09 13:47:00,349.83000000000004
12534,Germany,2011-08-01 10:26:00,1089.18
12535,France,2011-06-06 12:47:00,716.35
12536,France,2011-10-11 14:52:00,12601.830000000002
12538,Spain,2011-11-10 17:16:00,363.95
12539,Spain,2011-01-10 09:11:00,5568.35
12540,Spain,2010-12-13 09:39:00,13400.24
12541,Spain,2011-03-04 09:32:00,981.18
12544,Spain,2011-11-03 16:15:00,372.7
12545,Spain,2011-03-25 12:04:00,1000.39
12546,Spain,2011-09-23 09:44:00,1161.5
12547,Spain,2011-03-04 12:46:00,207.79999999999998
12548,Spain,2011-06-26 15:35:00,95.19999999999999
12550,Spain,2011-09-21 14:35:00,964.83
12551,Spain,2010-12-17 11:23:00,168.0
12552,Italy,2011-10-31 12:11:00,437.82
12553,France,2011-01-14 10:42:00,3692.28
12556,Spain,2011-07-11 13:35:00,599.56
12557,Spain,2010-12-03 12:20:00,11990.960000000001
12558,USA,2011-12-02 10:41:00,269.96
12559,Germany,2011-01-24 10:12:00,561.71
12560,Germany,2011-07-19 15:55:00,2134.01
12561,Germany,2011-02-10 11:39:00,238.85
12562,France,2011-05-25 12:44:00,3781.7400000000002
12564,France,2011-03-23 14:55:00,456.9
12565,Saudi Arabia,2011-02-24 10:34:00,145.92
12566,Germany,2011-09-14 14:30:00,351.65
12567,France,2010-12-05 11:57:00,9401.28
12569,Germany,2011-04-01 13:47:00,4124.69
12571,France,2011-08-10 12:35:00,519.61
12572,Germany,2011-10-19 08:20:00,1020.42
12573,France,2011-04-26 15:52:00,160.54000000000002
12574,France,2011-01-28 09:20:00,218.45
12576,Poland,2011-02-08 11:31:00,1315.83
12577,France,2010-12-15 16:21:00,626.6
12578,Italy,2011-01-13 15:34:00,2794.51
12579,France,2011-09-22 17:15:00,440.42
12580,Germany,2011-04-07 10:24:00,415.7
12581,Germany,2011-10-31 08:56:00,197.71
12582,Finland,2011-02-24 11:42:00,511.36
12583,France,2010-12-01 08:45:00,7281.38
12584,Italy,2011-03-04 15:15:00,2338.15
12585,Germany,2010-12-23 12:58:00,2040.1
12586,Italy,2011-11-22 16:24:00,196.94000000000003
12587,Finland,2011-12-02 12:47:00,144.0
12588,Finland,2011-10-31 15:01:00,214.89999999999998
12589,France,2011-07-18 12:05:00,646.68
12590,Germany,2011-05-12 14:46:00,9864.26
12591,Italy,2011-01-26 14:35:00,452.84999999999997
12592,Germany,2011-05-10 13:44:00,437.6
12593,France,2011-05-05 09:29:00,418.09999999999997
12594,Italy,2011-01-21 09:52:00,3338.2200000000003
12596,Spain,2011-04-11 13:22:00,618.27
12597,Spain,2011-03-16 14:00:00,3811.22
12598,France,2011-02-28 11:58:00,3023.08
12599,France,2011-02-08 13:28:00,1032.58
12600,Germany,2010-12-03 12:57:00,2599.04
12601,Germany,2011-01-11 10:38:00,577.0600000000001
12602,France,2011-10-12 11:22:00,153.12
12603,Germany,2011-11-18 10:42:00,739.1999999999999
12604,France,2011-03-23 12:06:00,254.18
12607,USA,2011-10-10 16:06:00,1579.51
12609,Germany,2011-01-25 15:13:00,1126.85
12610,Italy,2011-08-05 13:52:00,2099.54
12611,Italy,2011-10-18 13:12:00,1193.32
12612,Germany,2011-09-26 15:35:00,704.0400000000001
12613,Germany,2011-03-22 15:42:00,3344.38
12614,Germany,2011-03-07 10:22:00,315.6
12615,France,2011-06-24 13:35:00,2291.19
12616,France,2011-02-15 14:17:00,713.3
12617,France,2011-11-10 14:39:00,352.98
12618,Italy,2011-11-18 11:10:00,177.31
12619,Germany,2011-03-31 13:10:00,3641.24
12620,France,2011-05-19 12:10:00,1339.41
12621,Germany,2010-12-09 10:16:00,13689.67
12622,Germany,2011-04-21 16:39:00,180.1
12623,Germany,2011-03-08 13:50:00,305.1
12624,France,2011-06-15 12:34:00,641.13
12625,Germany,2011-01-24 13:27:00,2683.82
12626,Germany,2011-01-17 11:01:00,6620.48
12627,Germany,2011-07-22 13:59:00,4478.53
12628,Germany,2011-10-06 09:28:00,786.46
12630,Finland,2011-10-27 10:41:00,1270.88
12631,Finland,2011-10-13 13:53:00,640.5
12633,Germany,2011-02-25 08:44:00,2163.98
12635,Germany,2011-07-08 08:43:00,1689.18
12637,France,2011-01-20 10:47:00,6002.9
12638,Sweden,2011-11-06 13:11:00,671.69
12639,Sweden,2011-04-15 12:48:00,486.1
12640,France,2011-09-19 12:01:00,1174.58
12641,Sweden,2011-08-16 13:26:00,185.9
12642,Germany,2011-08-24 09:23:00,1013.26
12643,France,2011-01-11 11:48:00,3344.64
12644,Germany,2011-08-02 10:33:00,477.91
12645,Germany,2011-01-27 13:08:00,1775.18
12646,USA,2011-10-21 12:52:00,1346.97
12647,Germany,2010-12-05 14:02:00,3722.82
12648,Germany,2011-07-08 11:55:00,318.05
12649,Germany,2011-05-11 14:37:00,623.51
12650,France,2011-12-06 16:34:00,314.44
12651,France,2011-01-09 12:46:00,114.0
12652,France,2011-01-12 15:00:00,919.98
12653,Israel,2011-02-16 10:53:00,2209.85
12654,Germany,2011-02-17 13:16:00,601.98
12656,France,2011-04-20 09:20:00,4051.17
12657,France,2011-09-22 11:40:00,1643.18
12658,Germany,2011-11-21 10:22:00,686.05
12659,France,2011-11-10 11:53:00,91.68
12660,France,2011-11-28 13:26:00,245.1
12662,Germany,2010-12-01 13:04:00,3849.78
12664,Finland,2011-01-21 11:42:00,4881.88
12665,Germany,2011-01-19 08:34:00,63.0
12667,Finland,2011-10-12 17:00:00,620.13
12668,Germany,2010-12-19 12:46:00,3807.15
12669,France,2011-03-28 10:15:00,2744.0299999999997
12670,France,2011-04-21 10:16:00,2996.05
12672,France,2011-01-14 09:20:00,225.89999999999998
12673,Germany,2011-01-17 11:46:00,610.52
12674,France,2011-05-16 09:10:00,1970.6
12676,Sweden,2011-02-01 15:41:00,1331.39
12678,France,2010-12-21 11:00:00,17628.46
12679,France,2011-03-01 12:26:00,1113.02
12680,France,2011-08-18 15:44:00,862.81
12681,France,2010-12-07 10:08:00,13787.54
12682,France,2010-12-03 13:59:00,12279.82
12683,France,2010-12-09 10:37:00,8476.57
12684,France,2011-05-10 12:55:00,2283.63
12685,France,2011-09-07 10:28:00,2863.08
12686,France,2010-12-03 09:51:00,89.14
12688,Israel,2011-08-18 08:49:00,4873.8099999999995
12689,France,2011-08-04 10:04:00,1247.61
12690,France,2011-05-18 09:09:00,389.01
12691,France,2010-12-17 14:46:00,1035.8
12693,Germany,2011-01-24 12:58:00,855.91
12694,France,2011-06-09 17:48:00,869.67
12695,France,2011-05-13 13:15:00,582.1
12697,Sweden,2011-06-23 15:44:00,957.59
12700,France,2011-05-08 16:10:00,4939.99
12701,Germany,2011-04-11 13:02:00,797.71
12702,Germany,2011-11-20 10:36:00,219.0
12703,Germany,2011-09-29 17:52:00,283.55
12704,Finland,2011-06-23 10:20:00,2340.84
12705,Germany,2010-12-17 15:58:00,6868.29
12707,France,2011-02-21 08:38:00,603.42
12708,Germany,2010-12-06 10:43:00,2712.91
12709,Germany,2010-12-08 09:49:00,9706.52
12710,Germany,2011-05-22 14:05:00,1149.02
12712,Germany,2010-12-03 14:30:00,4396.13
12713,Germany,2011-12-09 12:16:00,848.55
12714,France,2011-02-18 10:53:00,4708.86
12715,Sweden,2011-08-25 15:22:00,343.36
12716,France,2011-07-29 13:28:00,1053.49
12717,Greece,2011-04-08 10:32:00,1030.98
