StockCode,Description,UnitPrice,TotalSold
10002,INFLATABLE POLITICAL GLOBE ,0.85,823
10080,GROOVY CACTUS INFLATABLE,0.41190476190476194,291
10120,DOGGY RUBBER,0.21,192
10123C,HEARTS WRAPPING TAPE ,0.65,5
10124A,SPOTS ON RED BOOKCOVER TAPE,0.42000000000000004,16
10124G,ARMY CAMO BOOKCOVER TAPE,0.42,17
10125,MINI FUNKY DESIGN TAPES,0.7817460317460317,1225
10133,COLOURING PENCILS BROWN TUBE,0.5292622950819672,2373
10135,COLOURING PENCILS BROWN TUBE,1.1968067226890755,1936
11001,ASSTD DESIGN RACING CAR PEN,1.851875,1252
15030,FAN BLACK FRAME ,0.29,143
15034,PAPER POCKET TRAVELING FAN ,0.13692307692307693,6419
15036,ASSORTED COLOURS SILK FAN,0.8050153846153846,21876
15039,SANDALWOOD FAN,0.8362857142857143,1558
15044A,PINK PAPER PARASOL ,3.017692307692308,422
15044B,BLUE PAPER PARASOL ,2.9333333333333336,307
15044C,PURPLE PAPER PARASOL,2.943333333333334,271
15044D,RED PAPER PARASOL,2.9615068493150685,629
15056BL,EDWARDIAN PARASOL BLACK,5.8937113402061865,2779
15056N,EDWARDIAN PARASOL NATURAL,5.864236842105263,3822
15056P,EDWARDIAN PARASOL PINK,5.941185185185185,767
15058A,BLUE POLKADOT GARDEN PARASOL,7.8088235294117645,148
15058B,PINK POLKADOT GARDEN PARASOL,7.8621951219512205,115
15058C,ICE CREAM DESIGN GARDEN PARASOL,6.35,193
15060B,FAIRY CAKE DESIGN UMBRELLA,3.820315789473684,411
16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.13614285714285712,2892
16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.12,30
16011,ANIMAL STICKERS,0.21,1749
16012,FOOD/DRINK SPONGE STICKERS,0.21,1220
16014,SMALL CHINESE STYLE SCISSOR,0.4014814814814815,13328
16015,MEDIUM CHINESE STYLE SCISSOR,0.48833333333333334,662
16016,LARGE CHINESE STYLE SCISSOR,0.8460000000000001,1273
16020C,CLEAR STATIONERY BOX SET ,0.85,6
16033,MINI HIGHLIGHTER PENS,0.12,840
16043,POP ART PUSH DOWN RUBBER ,0.12,98
16045,POPART WOODEN PENCILS ASST,0.043478260869565216,8900
16046,TEATIME PEN CASE & PENS,0.85,64
16048,TEATIME ROUND PENCIL SHARPENER ,0.13249999999999998,1436
16049,TEATIME GEL PENS ASST,0.24,504
16052,TEATIME PUSH DOWN RUBBER,0.305,467
16054,POPART RECT PENCIL SHARPENER ASST,0.1290909090909091,1166
16151A,FLOWERS HANDBAG blue and orange,1.25,49
16156L,"WRAP, CAROUSEL",0.42,475
16156S,WRAP PINK FAIRY CAKES ,0.4168862275449102,5800
16161G,WRAP BAD HAIR DAY,0.1,700
16161M,WRAP  PINK FLOCK,0.42,25
16161P,WRAP ENGLISH ROSE ,0.41943548387096774,7201
16161U,WRAP SUKI AND FRIENDS,0.41955223880597015,4075
16162L,THE KING GIFT BAG,0.65,17
16162M,THE KING GIFT BAG 25x24x12cm,0.42,26
16168M,FUNKY MONKEY GIFT BAG MEDIUM,0.42000000000000004,329
16169E,WRAP 50'S  CHRISTMAS,0.41919999999999996,4563
16169K,WRAP FOLK ART,0.42,200
16169M,WRAP DAISY CARPET ,0.42,660
